title,prices,available_seats,owner_first_name,owner_last_name,state_slug,city_slug,details_slug,avatar,average_ratings,id,lat,lng,amenities,reviews_count,owner_public_id,vehicle_type_allowed,image_order,size_score,size_category
"Oklahoma City, OK Truck & Trailer Parking off of  W. Reno Ave.","[{'price_id': 27767, 'price': 2000, 'plan_duration': 2, 'vehicle_type': 1}, {'price_id': 27768, 'price': 14000, 'plan_duration': 3, 'vehicle_type': 1}, {'price_id': 27769, 'price': 20000, 'plan_duration': 4, 'vehicle_type': 1}, {'price_id': 27770, 'price': 2000, 'plan_duration': 2, 'vehicle_type': 2}, {'price_id': 27771, 'price': 14000, 'plan_duration': 3, 'vehicle_type': 2}, {'price_id': 27772, 'price': 20000, 'plan_duration': 4, 'vehicle_type': 2}, {'price_id': 27773, 'price': 2000, 'plan_duration': 2, 'vehicle_type': 3}, {'price_id': 27774, 'price': 14000, 'plan_duration': 3, 'vehicle_type': 3}, {'price_id': 27775, 'price': 20000, 'plan_duration': 4, 'vehicle_type': 3}]",286,Lucas,M,oklahoma,oklahoma-city,10220-w-reno-ave-73127,/0625/1750429890790.png,5,5174,35.46217,-97.69957,"[1, 13, 14, 25, 18, 5, 6, 7, 11, 39, 19, 38, 4, 30, 31, 15, 34, 10]",1,GWC492,"[1, 2, 3]","[15968, 15969, 15970, 14251, 15855]",151,Mega
"Cahokia Heights, IL Truck Parking on 4300 Church Rd","[{'price_id': 36047, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 1}, {'price_id': 36049, 'price': 7500, 'plan_duration': 3, 'vehicle_type': 1}, {'price_id': 36051, 'price': 22500, 'plan_duration': 4, 'vehicle_type': 1}, {'price_id': 36052, 'price': 22500, 'plan_duration': 4, 'vehicle_type': 3}, {'price_id': 36048, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 3}, {'price_id': 36050, 'price': 7500, 'plan_duration': 3, 'vehicle_type': 3}]",200,Greg,L,illinois,cahokia-heights,4300-church-rd-62207,/0825/1754499042341.png,,6373,38.573824,-90.128104,"[1, 13, 14, 18, 25, 6, 34, 3, 9, 7, 39, 38, 32, 17, 15, 33, 30, 31]",0,YPU878,"[1, 3]","[19847, 19848]",146,Mega
"Waxahachie - Italy, TX Truck and Trailer Parking on 16740 S US Hwy 77","[{'price_id': 16772, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 16773, 'price': 7000, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 16876, 'price': 15000, 'plan_duration': 4, 'vehicle_type': 0}]",196,William,A,texas,italy,16740-s-us-hwy-77-76651,/0125/1737004976526.jpeg,5,3325,32.150868,-96.928604,"[1, 13, 14, 18, 25, 26, 6, 3, 33, 19, 7, 4, 29, 30, 31, 32, 17, 15, 34, 8]",3,WKK536,[0],,143,Mega
"Franksville, WI Truck and Trailer Parking on 2502 N Sylvania Ave","[{'price_id': 15054, 'price': 2500, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 15055, 'price': 10000, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 15056, 'price': 22000, 'plan_duration': 4, 'vehicle_type': 0}]",298,Dragan,R,wisconsin,franksville,2502-n-sylvania-ave-53126,/1224/1735576380541.jpeg,5,2995,42.74993,-87.95525,"[1, 13, 14, 18, 25, 6, 3, 19, 9, 29, 32, 17, 15, 34, 31, 10, 30, 38, 39]",1,DUD432,[0],,143,Mega
"Northlake, TX Truck and Trailer Parking on 13650 FM 1171","[{'price_id': 28467, 'price': 6500, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 40768, 'price': 2000, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 40769, 'price': 17500, 'plan_duration': 4, 'vehicle_type': 0}]",233,Amanda,Y,texas,northlake,13650-fm-1171-76247,/0625/1750649282137.png,4.64,5309,33.06504,-97.24533,"[1, 25, 6, 33, 19, 39, 38, 10, 30, 31, 32, 17, 15, 13, 18, 3, 34, 14]",11,NFU786,[0],"[16078, 14676, 14675, 16323, 16320, 16321, 16322]",141,Mega
"Lacoste, TX Truck and Trailer Parking on 8837 FM 471","[{'price_id': 24290, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 38565, 'price': 5000, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 38566, 'price': 15000, 'plan_duration': 4, 'vehicle_type': 0}]",200,Kristen,S,texas,lacoste,8865-fm471-78039,/0825/1755114025796.png,5,4590,29.339469,-98.824834,"[1, 13, 19, 38, 3, 15, 33, 17, 10, 14, 25, 18, 26, 7, 30, 31, 32, 9]",2,NQF837,[0],"[17730, 17698, 13482, 17697, 17699, 17700, 17701]",141,Mega
"Scarborough, ME Truck and Trailer Parking on Holmes Rd","[{'price_id': 39779, 'price': 12500, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 39780, 'price': 22500, 'plan_duration': 4, 'vehicle_type': 0}, {'price_id': 40671, 'price': 2500, 'plan_duration': 2, 'vehicle_type': 0}]",348,Dan,D,maine,scarborough,40-holmes-rd-04074,/0825/1754946881144.png,5,3391,43.609694,-70.372437,"[1, 18, 25, 26, 3, 29, 10, 30, 31, 17, 9, 13, 33, 19, 7, 39, 38, 4]",1,HND598,[0],"[20270, 2654, 20296, 20254, 20305]",141,Mega
"Delta, OH Truck & Trailer Parking on US 20a","[{'price_id': 34891, 'price': 6000, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 34892, 'price': 12500, 'plan_duration': 4, 'vehicle_type': 0}, {'price_id': 34890, 'price': 2000, 'plan_duration': 2, 'vehicle_type': 0}]",498,Bobby,J,ohio,delta,u-s--20-alternate-43515,/0924/1726794470419.jpeg,5,109,41.57479,-83.9569,"[6, 8, 1, 3, 13, 14, 15, 4, 18, 19, 7, 29, 10, 31, 17, 32, 30, 38]",3,YQB686,[0],"[3324, 3318, 3323, 19066, 19065, 19064, 19063, 19062, 3321, 3322, 3320]",141,Mega
"Dublin, GA Truck & Trailer Parking off of US-441 BYP","[{'price_id': 43026, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 43027, 'price': 7500, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 43028, 'price': 18000, 'plan_duration': 4, 'vehicle_type': 0}]",197,Paul,S,georgia,dublin,1236-us-441-byp-31021,/0925/1758402763030.png,,7578,32.50654,-82.94833,"[1, 13, 14, 6, 3, 33, 7, 38, 10, 30, 31, 32, 17, 34, 9, 15]",0,PWA278,[0],,135.5,Mega
"Joliet, IL Truck and Trailer Parking at 912 E Washington St","[{'price_id': 17653, 'price': 17500, 'plan_duration': 4, 'vehicle_type': 0}, {'price_id': 21323, 'price': 3000, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 21324, 'price': 7500, 'plan_duration': 3, 'vehicle_type': 0}]",188,Ryan,T,illinois,joliet,912-e-washington-st-60433,/0325/1743452433951.jpeg,4.67,3500,41.520615,-88.058538,"[1, 13, 18, 26, 6, 33, 19, 7, 29, 10, 31, 17, 15, 32, 30, 4, 25, 14]",6,PPB635,[0],"[10867, 9388, 9387, 11126, 11128, 11124]",135,Mega
"Anderson, IN Truck & Trailer Parking On Doctor M.L.K. Jr Blvd","[{'price_id': 29319, 'price': 5000, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 29320, 'price': 10000, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 29321, 'price': 22500, 'plan_duration': 4, 'vehicle_type': 0}]",349,Josh,J,indiana,anderson,3125-doctor-martin-luther-king-junior-boulevard,/0824/1724955540783.png,5,1296,40.0843034,-85.7022938,"[1, 13, 14, 18, 25, 19, 4, 29, 10, 30, 31, 32, 17, 15, 33]",1,KXE872,[0],,135,Mega
"Fate, TX Truck and Trailer Parking on S FM 551","[{'price_id': 21636, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 21637, 'price': 7500, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 21638, 'price': 29900, 'plan_duration': 4, 'vehicle_type': 0}]",244,HELLEN,B,texas,royse-city,3182-fm551-75189,/0325/1742001489311.jpg,5,4132,32.910049,-96.36963,"[1, 6, 3, 9, 14, 10, 31, 30, 17, 39, 13, 38, 15]",4,GPV794,[0],,131,Mega
"Cahokia, IL Truck & Trailer Parking On Mississippi Ave","[{'price_id': 8397, 'price': 10000, 'plan_duration': 4, 'vehicle_type': 0}, {'price_id': 8394, 'price': 1000, 'plan_duration': 1, 'vehicle_type': 0}, {'price_id': 8395, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 8396, 'price': 3000, 'plan_duration': 3, 'vehicle_type': 0}]",493,Midhat,S,illinois,cahokia-heights,3101-mississippi-avenue,/0425/1745850492734.png,4.6,1829,38.589159,-90.178704,"[1, 13, 14, 5, 6, 3, 19, 32, 17, 15, 31, 10, 30]",5,PXF888,[0],"[12397, 6140, 12399, 18067, 18070, 18069, 18068, 18066, 12400, 12401, 12398]",131,Mega
"Jacksonville, FL Truck and Trailer Parking on 5007 New Kings Road","[{'price_id': 12883, 'price': 2200, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 12884, 'price': 8500, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 12885, 'price': 16000, 'plan_duration': 4, 'vehicle_type': 0}]",335,Michael,M,florida,jacksonville,5007-new-kings-road-32209,/0225/1738762046302.jpeg,5,681,30.3618842,-81.7140998,"[1, 6, 9, 15, 13, 18, 19, 31, 25, 10, 30, 17, 38]",16,DQE653,[0],,131,Mega
"New Brunswick, NJ Truck and Trailer Parking on 711 Jersey Ave","[{'price_id': 22140, 'price': 5000, 'plan_duration': 2, 'vehicle_type': 1}, {'price_id': 23181, 'price': 5000, 'plan_duration': 2, 'vehicle_type': 2}, {'price_id': 25148, 'price': 25000, 'plan_duration': 3, 'vehicle_type': 1}, {'price_id': 25149, 'price': 75000, 'plan_duration': 4, 'vehicle_type': 1}, {'price_id': 25150, 'price': 25000, 'plan_duration': 3, 'vehicle_type': 2}, {'price_id': 25151, 'price': 75000, 'plan_duration': 4, 'vehicle_type': 2}, {'price_id': 25152, 'price': 5000, 'plan_duration': 2, 'vehicle_type': 3}, {'price_id': 25153, 'price': 25000, 'plan_duration': 3, 'vehicle_type': 3}, {'price_id': 25154, 'price': 75000, 'plan_duration': 4, 'vehicle_type': 3}]",170,Erik,V,new-jersey,new-brunswick,711-jersey-ave-08901,/0925/1758318249601.png,5,4229,40.475541,-74.47356,"[3, 6, 26, 5, 25, 14, 1, 38, 39, 15, 9, 10, 31, 17, 30]",2,QAR782,"[1, 2, 3]","[12354, 12353, 10164, 10163, 10162, 10161, 10160, 10159, 10158, 10157]",130,Mega
"Midland, TX Truck and Trailer Parking on 3607 E County Road 175","[{'price_id': 26345, 'price': 1500, 'plan_duration': 2, 'vehicle_type': 0}, {'price_id': 26346, 'price': 10000, 'plan_duration': 3, 'vehicle_type': 0}, {'price_id': 26347, 'price': 15000, 'plan_duration': 4, 'vehicle_type': 0}]",200,Alfredo,M,texas,midland,3607-e-county-rd-175-79706,/0525/1747245337634.png,,4907,31.895458,-101.980672,"[13, 14, 25, 34, 33, 19, 7, 38, 30, 15, 1, 18]",0,FSF778,[0],"[13135, 13136, 13137, 13138, 13134]",129,Mega
